"workerid","nat","age","gender","race","region","gendComments","raceComments","genComments","name1","trialtype","content","qtype","context","prev","rhetorical","negevidential","posepist","surprise","indignation","comment","experiment","qtype2"
"S_222","Y","30s","F","AFR","MA",NA,"",NA,"Matt","evenh","solve","evenpnq","c1","evenh-solve-c2",25,5,5,78,68,"","exp2a","evenpnq"
"S_222","Y","30s","F","AFR","MA",NA,"",NA,"Jacob","evenl","grain","pq","c1","evenl-grain-c2",66,81,91,85,76,"","exp2a","pq"
"S_222","Y","30s","F","AFR","MA",NA,"",NA,"Andrew","mnpi","give","pnq","c1","mnpi-give-c2",57,55,67,68,56,"","exp2a","pnq"
"S_222","Y","30s","F","AFR","MA",NA,"",NA,"Roy","snpi","anytime","evenq","c1","snpi-anytime-c2",62,81,84,68,61,"","exp2a","evenq"
"S_295","Y","20s","M","CAU","MA",NA,"",NA,"Carrie","evenl","inkling","evenq","c1","evenl-inkling-c2",9,98,47,60,88,"","exp2a","evenq"
"S_295","Y","20s","M","CAU","MA",NA,"",NA,"Roy","snpi","anytime","pq","c1","snpi-anytime-c2",68,31,38,46,21,"","exp2a","pq"
"S_295","Y","20s","M","CAU","MA",NA,"",NA,"Sally","evenh","call","pnq","c1","evenh-call-c2",74,40,77,60,17,"","exp2a","pnq"
"S_295","Y","20s","M","CAU","MA",NA,"",NA,"Alice","mnpi","lift","evenpnq","c1","mnpi-lift-c2",65,82,70,81,66,"","exp2a","evenpnq"
"S_97","Y","20s","M","CAU","NE",NA,"",NA,"Roy","snpi","anytime","evenpnq","c1","snpi-anytime-c2",63,1,81,9,71,"","exp2a","evenpnq"
"S_97","Y","20s","M","CAU","NE",NA,"",NA,"Sally","evenh","call","pq","c1","evenh-call-c2",95,3,48,6,22,"","exp2a","pq"
"S_97","Y","20s","M","CAU","NE",NA,"",NA,"Carrie","evenl","inkling","pnq","c1","evenl-inkling-c2",7,83,88,62,69,"","exp2a","pnq"
"S_97","Y","20s","M","CAU","NE",NA,"",NA,"Alice","mnpi","lift","evenq","c1","mnpi-lift-c2",11,16,12,78,63,"","exp2a","evenq"
"S_337","Y","20s","M","CAU","MW",NA,"",NA,"Jacob","evenl","grain","pnq","c1","evenl-grain-c2",16,6,4,3,2,"","exp2a","pnq"
"S_337","Y","20s","M","CAU","MW",NA,"",NA,"Alice","mnpi","lift","evenq","c1","mnpi-lift-c2",8,6,5,96,97,"","exp2a","evenq"
"S_337","Y","20s","M","CAU","MW",NA,"",NA,"Sally","evenh","call","pq","c1","evenh-call-c2",52,48,57,22,15,"","exp2a","pq"
"S_337","Y","20s","M","CAU","MW",NA,"",NA,"Lily","snpi","anything","evenpnq","c1","snpi-anything-c2",5,95,3,96,100,"","exp2a","evenpnq"
"S_51","Y","20s","M","CAU","MW",NA,"",NA,"Jacob","evenl","grain","pq","c1","evenl-grain-c2",56,63,77,69,75,"","exp2a","pq"
"S_51","Y","20s","M","CAU","MW",NA,"",NA,"Sally","evenh","call","evenpnq","c1","evenh-call-c2",70,56,71,68,60,"","exp2a","evenpnq"
"S_51","Y","20s","M","CAU","MW",NA,"",NA,"Roy","snpi","anytime","evenq","c1","snpi-anytime-c2",81,73,75,87,57,"","exp2a","evenq"
"S_51","Y","20s","M","CAU","MW",NA,"",NA,"Andrew","mnpi","give","pnq","c1","mnpi-give-c2",97,79,73,89,82,"","exp2a","pnq"
"S_192","Y","30s","M","CAU","WE",NA,"",NA,"Jacob","evenl","grain","pnq","c1","evenl-grain-c2",100,0,84,70,27,"","exp2a","pnq"
"S_192","Y","30s","M","CAU","WE",NA,"",NA,"Andrew","mnpi","give","evenq","c1","mnpi-give-c2",15,0,0,0,63,"","exp2a","evenq"
"S_192","Y","30s","M","CAU","WE",NA,"",NA,"Roy","snpi","anytime","evenpnq","c1","snpi-anytime-c2",27,0,1,0,29,"","exp2a","evenpnq"
"S_192","Y","30s","M","CAU","WE",NA,"",NA,"Sally","evenh","call","pq","c1","evenh-call-c2",0,0,21,0,0,"","exp2a","pq"
"S_225","Y","60s","M","CAU","MW",NA,"",NA,"Sally","evenh","call","evenq","c1","evenh-call-c2",20,53,17,12,75,"None","exp2a","evenq"
"S_225","Y","60s","M","CAU","MW",NA,"",NA,"Roy","snpi","anytime","pnq","c1","snpi-anytime-c2",74,16,77,84,31,"","exp2a","pnq"
"S_225","Y","60s","M","CAU","MW",NA,"",NA,"Jacob","evenl","grain","evenpnq","c1","evenl-grain-c2",9,21,67,71,36,"","exp2a","evenpnq"
"S_225","Y","60s","M","CAU","MW",NA,"",NA,"Alice","mnpi","lift","pq","c1","mnpi-lift-c2",25,22,27,53,20,"","exp2a","pq"
"S_114","Y","20s","F","AFR","SO",NA,"",NA,"Jacob","evenl","grain","evenpnq","c1","evenl-grain-c2",17,72,73,60,73,"","exp2a","evenpnq"
"S_114","Y","20s","F","AFR","SO",NA,"",NA,"Alice","mnpi","lift","pq","c1","mnpi-lift-c2",59,11,80,65,13,"","exp2a","pq"
"S_114","Y","20s","F","AFR","SO",NA,"",NA,"Lily","snpi","anything","pnq","c1","snpi-anything-c2",69,33,64,28,10,"","exp2a","pnq"
"S_114","Y","20s","F","AFR","SO",NA,"",NA,"Matt","evenh","solve","evenq","c1","evenh-solve-c2",69,7,22,63,60,"","exp2a","evenq"
"S_293","Y","20s","M","CAU","MA",NA,"",NA,"Alice","mnpi","lift","pnq","c1","mnpi-lift-c2",87,71,59,72,41,"","exp2a","pnq"
"S_293","Y","20s","M","CAU","MA",NA,"",NA,"Matt","evenh","solve","evenpnq","c1","evenh-solve-c2",57,68,74,72,43,"","exp2a","evenpnq"
"S_293","Y","20s","M","CAU","MA",NA,"",NA,"Jacob","evenl","grain","pq","c1","evenl-grain-c2",35,84,59,77,66,"","exp2a","pq"
"S_293","Y","20s","M","CAU","MA",NA,"",NA,"Lily","snpi","anything","evenq","c1","snpi-anything-c2",18,69,24,70,87,"","exp2a","evenq"
"S_25","Y","50s","M","CAU","MW",NA,"",NA,"Lily","snpi","anything","evenpnq","c1","snpi-anything-c2",20,99,78,98,74,"","exp2a","evenpnq"
"S_25","Y","50s","M","CAU","MW",NA,"",NA,"Sally","evenh","call","pq","c1","evenh-call-c2",72,0,17,25,0,"","exp2a","pq"
"S_25","Y","50s","M","CAU","MW",NA,"",NA,"Andrew","mnpi","give","evenq","c1","mnpi-give-c2",2,68,26,47,68,"","exp2a","evenq"
"S_25","Y","50s","M","CAU","MW",NA,"",NA,"Jacob","evenl","grain","pnq","c1","evenl-grain-c2",11,79,79,90,0,"","exp2a","pnq"
"S_152","Y","40s","M","AFR","SW",NA,"",NA,"Matt","evenh","solve","evenpnq","c1","evenh-solve-c2",19,19,21,90,22,"","exp2a","evenpnq"
"S_152","Y","40s","M","AFR","SW",NA,"",NA,"Jacob","evenl","grain","pq","c1","evenl-grain-c2",11,65,93,92,76,"","exp2a","pq"
"S_152","Y","40s","M","AFR","SW",NA,"",NA,"Andrew","mnpi","give","pnq","c1","mnpi-give-c2",13,13,72,92,16,"","exp2a","pnq"
"S_152","Y","40s","M","AFR","SW",NA,"",NA,"Lily","snpi","anything","evenq","c1","snpi-anything-c2",81,14,82,91,63,"","exp2a","evenq"
"S_344","N","40s","M","OTH","nonUS",NA,"Asian",NA,"Lily","snpi","anything","evenq","c1","snpi-anything-c2",10,56,58,78,63,"","exp2a","evenq"
"S_344","N","40s","M","OTH","nonUS",NA,"Asian",NA,"Jacob","evenl","grain","pq","c1","evenl-grain-c2",14,25,11,86,83,"","exp2a","pq"
"S_344","N","40s","M","OTH","nonUS",NA,"Asian",NA,"Andrew","mnpi","give","pnq","c1","mnpi-give-c2",16,84,61,82,75,"","exp2a","pnq"
"S_344","N","40s","M","OTH","nonUS",NA,"Asian",NA,"Sally","evenh","call","evenpnq","c1","evenh-call-c2",26,34,65,80,76,"","exp2a","evenpnq"
"S_216","Y","30s","F","ASI","NE",NA,"",NA,"Jacob","evenl","grain","pq","c1","evenl-grain-c2",4,84,68,27,27,"","exp2a","pq"
"S_216","Y","30s","F","ASI","NE",NA,"",NA,"Lily","snpi","anything","evenq","c1","snpi-anything-c2",0,93,88,84,72,"","exp2a","evenq"
"S_216","Y","30s","F","ASI","NE",NA,"",NA,"Andrew","mnpi","give","pnq","c1","mnpi-give-c2",88,92,44,27,59,"","exp2a","pnq"
"S_216","Y","30s","F","ASI","NE",NA,"",NA,"Sally","evenh","call","evenpnq","c1","evenh-call-c2",77,59,75,74,55,"","exp2a","evenpnq"
"S_75","Y","20s","M","OTH","MA",NA,"Black and White",NA,"Lily","snpi","anything","evenpnq","c1","snpi-anything-c2",81,7,90,89,82,"","exp2a","evenpnq"
"S_75","Y","20s","M","OTH","MA",NA,"Black and White",NA,"Sally","evenh","call","pq","c1","evenh-call-c2",77,54,25,64,42,"","exp2a","pq"
"S_75","Y","20s","M","OTH","MA",NA,"Black and White",NA,"Andrew","mnpi","give","evenq","c1","mnpi-give-c2",21,72,56,84,81,"","exp2a","evenq"
"S_75","Y","20s","M","OTH","MA",NA,"Black and White",NA,"Carrie","evenl","inkling","pnq","c1","evenl-inkling-c2",74,75,39,93,99,"","exp2a","pnq"
"S_246","Y","30s","F","CAU","WE",NA,"",NA,"Jacob","evenl","grain","pq","c1","evenl-grain-c2",62,83,82,62,35,"","exp2a","pq"
"S_246","Y","30s","F","CAU","WE",NA,"",NA,"Sally","evenh","call","evenpnq","c1","evenh-call-c2",87,32,94,81,68,"","exp2a","evenpnq"
"S_246","Y","30s","F","CAU","WE",NA,"",NA,"Lily","snpi","anything","evenq","c1","snpi-anything-c2",8,99,81,90,67,"","exp2a","evenq"
"S_246","Y","30s","F","CAU","WE",NA,"",NA,"Andrew","mnpi","give","pnq","c1","mnpi-give-c2",21,84,72,86,59,"","exp2a","pnq"
"S_70","Y","20s","F","CAU","MA",NA,"",NA,"Sally","evenh","call","evenpnq","c1","evenh-call-c2",36,88,10,65,41,"","exp2a","evenpnq"
"S_70","Y","20s","F","CAU","MA",NA,"",NA,"Andrew","mnpi","give","pnq","c1","mnpi-give-c2",66,66,87,68,43,"","exp2a","pnq"
"S_70","Y","20s","F","CAU","MA",NA,"",NA,"Roy","snpi","anytime","evenq","c1","snpi-anytime-c2",89,78,100,76,56,"","exp2a","evenq"
"S_70","Y","20s","F","CAU","MA",NA,"",NA,"Jacob","evenl","grain","pq","c1","evenl-grain-c2",94,81,91,70,13,"","exp2a","pq"
"S_378","Y","30s","M","CAU","SO",NA,"",NA,"Jacob","evenl","grain","evenq","c1","evenl-grain-c2",2,76,87,74,35,"","exp2a","evenq"
"S_378","Y","30s","M","CAU","SO",NA,"",NA,"Lily","snpi","anything","pq","c1","snpi-anything-c2",50,11,89,85,24,"","exp2a","pq"
"S_378","Y","30s","M","CAU","SO",NA,"",NA,"Alice","mnpi","lift","evenpnq","c1","mnpi-lift-c2",3,79,39,67,60,"","exp2a","evenpnq"
"S_378","Y","30s","M","CAU","SO",NA,"",NA,"Sally","evenh","call","pnq","c1","evenh-call-c2",73,25,99,92,10,"","exp2a","pnq"
"S_209","Y","30s","F","CAU","SO",NA,"",NA,"Carrie","evenl","inkling","pnq","c1","evenl-inkling-c2",37,56,25,55,67,"it wasnt so hard to tell how they were behaving to each other","exp2a","pnq"
"S_209","Y","30s","F","CAU","SO",NA,"",NA,"Roy","snpi","anytime","evenpnq","c1","snpi-anytime-c2",44,62,47,53,56,"roy was surprised sallly didnt have time to meet","exp2a","evenpnq"
"S_209","Y","30s","F","CAU","SO",NA,"",NA,"Sally","evenh","call","pq","c1","evenh-call-c2",56,54,58,63,54,"","exp2a","pq"
"S_209","Y","30s","F","CAU","SO",NA,"",NA,"Andrew","mnpi","give","evenq","c1","mnpi-give-c2",19,80,48,69,96,"","exp2a","evenq"
"S_155","Y","60s","M","CAU","MW",NA,"",NA,"Jacob","evenl","grain","pnq","c1","evenl-grain-c2",73,60,34,58,50,"","exp2a","pnq"
"S_155","Y","60s","M","CAU","MW",NA,"",NA,"Alice","mnpi","lift","evenq","c1","mnpi-lift-c2",36,76,59,69,53,"","exp2a","evenq"
"S_155","Y","60s","M","CAU","MW",NA,"",NA,"Sally","evenh","call","pq","c1","evenh-call-c2",45,36,37,41,8,"","exp2a","pq"
"S_155","Y","60s","M","CAU","MW",NA,"",NA,"Lily","snpi","anything","evenpnq","c1","snpi-anything-c2",43,91,66,85,48,"","exp2a","evenpnq"
"S_238","Y","30s","M","CAU","MA",NA,"",NA,"Matt","evenh","solve","evenq","c1","evenh-solve-c2",0,0,0,74,18,"","exp2a","evenq"
"S_238","Y","30s","M","CAU","MA",NA,"",NA,"Roy","snpi","anytime","pnq","c1","snpi-anytime-c2",100,66,100,100,0,"","exp2a","pnq"
"S_238","Y","30s","M","CAU","MA",NA,"",NA,"Alice","mnpi","lift","pq","c1","mnpi-lift-c2",65,63,77,65,23,"","exp2a","pq"
"S_238","Y","30s","M","CAU","MA",NA,"",NA,"Jacob","evenl","grain","evenpnq","c1","evenl-grain-c2",100,100,100,100,50,"","exp2a","evenpnq"
"S_207","Y","60s","M","CAU","MW",NA,"",NA,"Alice","mnpi","lift","pnq","c1","mnpi-lift-c2",26,70,63,80,42,"","exp2a","pnq"
"S_207","Y","60s","M","CAU","MW",NA,"",NA,"Carrie","evenl","inkling","pq","c1","evenl-inkling-c2",40,63,62,36,68,"","exp2a","pq"
"S_207","Y","60s","M","CAU","MW",NA,"",NA,"Sally","evenh","call","evenpnq","c1","evenh-call-c2",36,41,36,71,78,"","exp2a","evenpnq"
"S_207","Y","60s","M","CAU","MW",NA,"",NA,"Roy","snpi","anytime","evenq","c1","snpi-anytime-c2",68,69,65,83,82,"","exp2a","evenq"
"S_311","Y","20s","M","CAU","SW",NA,"",NA,"Alice","mnpi","lift","pq","c1","mnpi-lift-c2",76,77,32,33,67,"","exp2a","pq"
"S_311","Y","20s","M","CAU","SW",NA,"",NA,"Roy","snpi","anytime","pnq","c1","snpi-anytime-c2",69,78,22,66,80,"","exp2a","pnq"
"S_311","Y","20s","M","CAU","SW",NA,"",NA,"Jacob","evenl","grain","evenpnq","c1","evenl-grain-c2",80,84,77,11,78,"","exp2a","evenpnq"
"S_311","Y","20s","M","CAU","SW",NA,"",NA,"Matt","evenh","solve","evenq","c1","evenh-solve-c2",22,80,72,82,7,"","exp2a","evenq"
"S_132","Y","20s","M","CAU","MA",NA,"",NA,"Sally","evenh","call","pnq","c1","evenh-call-c2",0,69,100,100,38,"","exp2a","pnq"
"S_132","Y","20s","M","CAU","MA",NA,"",NA,"Lily","snpi","anything","pq","c1","snpi-anything-c2",51,33,69,26,14,"","exp2a","pq"
"S_132","Y","20s","M","CAU","MA",NA,"",NA,"Alice","mnpi","lift","evenpnq","c1","mnpi-lift-c2",93,39,78,100,64,"","exp2a","evenpnq"
"S_132","Y","20s","M","CAU","MA",NA,"",NA,"Carrie","evenl","inkling","evenq","c1","evenl-inkling-c2",10,27,0,60,100,"","exp2a","evenq"
"S_315","Y","30s","M","CAU","MW",NA,"",NA,"Sally","evenh","call","pnq","c1","evenh-call-c2",87,41,83,28,46,"","exp2a","pnq"
"S_315","Y","30s","M","CAU","MW",NA,"",NA,"Alice","mnpi","lift","evenpnq","c1","mnpi-lift-c2",24,13,55,67,65,"","exp2a","evenpnq"
"S_315","Y","30s","M","CAU","MW",NA,"",NA,"Roy","snpi","anytime","pq","c1","snpi-anytime-c2",70,30,72,77,28,"","exp2a","pq"
"S_315","Y","30s","M","CAU","MW",NA,"",NA,"Carrie","evenl","inkling","evenq","c1","evenl-inkling-c2",19,66,32,21,74,"","exp2a","evenq"
"S_139","Y","30s","M","CAU","NE",NA,"",NA,"Andrew","mnpi","give","pnq","c1","mnpi-give-c2",50,88,50,75,64,"","exp2a","pnq"
"S_139","Y","30s","M","CAU","NE",NA,"",NA,"Lily","snpi","anything","evenq","c1","snpi-anything-c2",14,91,86,86,96,"","exp2a","evenq"
"S_139","Y","30s","M","CAU","NE",NA,"",NA,"Carrie","evenl","inkling","pq","c1","evenl-inkling-c2",44,77,32,32,58,"","exp2a","pq"
"S_139","Y","30s","M","CAU","NE",NA,"",NA,"Sally","evenh","call","evenpnq","c1","evenh-call-c2",32,76,51,82,13,"","exp2a","evenpnq"
"S_145","Y","20s","M","ASI","MW",NA,"",NA,"Roy","snpi","anytime","evenpnq","c1","snpi-anytime-c2",72,19,74,71,60,"","exp2a","evenpnq"
"S_145","Y","20s","M","ASI","MW",NA,"",NA,"Matt","evenh","solve","pq","c1","evenh-solve-c2",19,26,27,26,0,"","exp2a","pq"
"S_145","Y","20s","M","ASI","MW",NA,"",NA,"Alice","mnpi","lift","evenq","c1","mnpi-lift-c2",15,21,23,78,25,"","exp2a","evenq"
"S_145","Y","20s","M","ASI","MW",NA,"",NA,"Carrie","evenl","inkling","pnq","c1","evenl-inkling-c2",43,19,62,82,3,"","exp2a","pnq"
"S_346","Y","20s","F","LAT","MW",NA,"",NA,"Alice","mnpi","lift","pnq","c1","mnpi-lift-c2",85,43,77,62,50,"","exp2a","pnq"
"S_346","Y","20s","F","LAT","MW",NA,"",NA,"Sally","evenh","call","evenpnq","c1","evenh-call-c2",77,69,81,61,45,"","exp2a","evenpnq"
"S_346","Y","20s","F","LAT","MW",NA,"",NA,"Carrie","evenl","inkling","pq","c1","evenl-inkling-c2",77,38,70,70,58,"","exp2a","pq"
"S_346","Y","20s","F","LAT","MW",NA,"",NA,"Roy","snpi","anytime","evenq","c1","snpi-anytime-c2",38,70,35,41,60,"","exp2a","evenq"
"S_88","Y","40s","M","CAU","MA",NA,"",NA,"Matt","evenh","solve","evenpnq","c1","evenh-solve-c2",12,87,86,44,46,"","exp2a","evenpnq"
"S_88","Y","40s","M","CAU","MA",NA,"",NA,"Andrew","mnpi","give","pnq","c1","mnpi-give-c2",78,65,53,86,65,"","exp2a","pnq"
"S_88","Y","40s","M","CAU","MA",NA,"",NA,"Jacob","evenl","grain","pq","c1","evenl-grain-c2",29,64,62,65,46,"","exp2a","pq"
"S_88","Y","40s","M","CAU","MA",NA,"",NA,"Roy","snpi","anytime","evenq","c1","snpi-anytime-c2",39,66,58,67,38,"","exp2a","evenq"
"S_350","Y","20s","M","CAU","SW",NA,"",NA,"Roy","snpi","anytime","pnq","c1","snpi-anytime-c2",60,71,73,66,69,"","exp2a","pnq"
"S_350","Y","20s","M","CAU","SW",NA,"",NA,"Alice","mnpi","lift","pq","c1","mnpi-lift-c2",69,66,62,74,69,"","exp2a","pq"
"S_350","Y","20s","M","CAU","SW",NA,"",NA,"Matt","evenh","solve","evenq","c1","evenh-solve-c2",78,77,67,82,67,"","exp2a","evenq"
"S_350","Y","20s","M","CAU","SW",NA,"",NA,"Carrie","evenl","inkling","evenpnq","c1","evenl-inkling-c2",75,80,67,81,69,"","exp2a","evenpnq"
"S_277","N","20s","F","ASI","nonUS",NA,"",NA,"Alice","mnpi","lift","pnq","c1","mnpi-lift-c2",19,15,81,29,0,"","exp2a","pnq"
"S_277","N","20s","F","ASI","nonUS",NA,"",NA,"Matt","evenh","solve","evenpnq","c1","evenh-solve-c2",92,77,12,85,60,"","exp2a","evenpnq"
"S_277","N","20s","F","ASI","nonUS",NA,"",NA,"Jacob","evenl","grain","pq","c1","evenl-grain-c2",14,20,14,2,2,"","exp2a","pq"
"S_277","N","20s","F","ASI","nonUS",NA,"",NA,"Roy","snpi","anytime","evenq","c1","snpi-anytime-c2",17,43,8,2,61,"","exp2a","evenq"
"S_128","Y","20s","F","CAU","MW",NA,"",NA,"Carrie","evenl","inkling","evenq","c1","evenl-inkling-c2",0,100,0,100,100,"","exp2a","evenq"
"S_128","Y","20s","F","CAU","MW",NA,"",NA,"Matt","evenh","solve","pnq","c1","evenh-solve-c2",0,100,100,73,0,"","exp2a","pnq"
"S_128","Y","20s","F","CAU","MW",NA,"",NA,"Lily","snpi","anything","pq","c1","snpi-anything-c2",100,0,100,100,0,"","exp2a","pq"
"S_128","Y","20s","F","CAU","MW",NA,"",NA,"Andrew","mnpi","give","evenpnq","c1","mnpi-give-c2",0,100,0,0,100,"","exp2a","evenpnq"
"S_366","Y","20s","F","CAU","WE",NA,"",NA,"Lily","snpi","anything","evenpnq","c1","snpi-anything-c2",11,95,86,98,92,"","exp2a","evenpnq"
"S_366","Y","20s","F","CAU","WE",NA,"",NA,"Jacob","evenl","grain","pnq","c1","evenl-grain-c2",73,20,85,45,9,"","exp2a","pnq"
"S_366","Y","20s","F","CAU","WE",NA,"",NA,"Andrew","mnpi","give","evenq","c1","mnpi-give-c2",0,77,16,19,92,"","exp2a","evenq"
"S_366","Y","20s","F","CAU","WE",NA,"",NA,"Sally","evenh","call","pq","c1","evenh-call-c2",88,12,51,14,1,"","exp2a","pq"
"S_345","Y","30s","F","AFR","SO",NA,"",NA,"Matt","evenh","solve","evenq","c1","evenh-solve-c2",61,36,84,20,63,"","exp2a","evenq"
"S_345","Y","30s","F","AFR","SO",NA,"",NA,"Carrie","evenl","inkling","evenpnq","c1","evenl-inkling-c2",65,80,80,67,22,"","exp2a","evenpnq"
"S_345","Y","30s","F","AFR","SO",NA,"",NA,"Roy","snpi","anytime","pnq","c1","snpi-anytime-c2",99,20,80,66,13,"","exp2a","pnq"
"S_345","Y","30s","F","AFR","SO",NA,"",NA,"Andrew","mnpi","give","pq","c1","mnpi-give-c2",35,26,70,81,4,"","exp2a","pq"
"S_52","Y","30s","M","CAU","MW",NA,"",NA,"Lily","snpi","anything","evenpnq","c1","snpi-anything-c2",2,1,1,2,98,"","exp2a","evenpnq"
"S_52","Y","30s","M","CAU","MW",NA,"",NA,"Sally","evenh","call","pq","c1","evenh-call-c2",99,2,1,2,0,"","exp2a","pq"
"S_52","Y","30s","M","CAU","MW",NA,"",NA,"Andrew","mnpi","give","evenq","c1","mnpi-give-c2",26,99,20,6,75,"","exp2a","evenq"
"S_52","Y","30s","M","CAU","MW",NA,"",NA,"Carrie","evenl","inkling","pnq","c1","evenl-inkling-c2",9,90,10,3,87,"","exp2a","pnq"
"S_255","Y","20s","F","CAU","WE",NA,"",NA,"Sally","evenh","call","pnq","c1","evenh-call-c2",78,46,55,62,36,"","exp2a","pnq"
"S_255","Y","20s","F","CAU","WE",NA,"",NA,"Roy","snpi","anytime","pq","c1","snpi-anytime-c2",45,32,39,29,36,"","exp2a","pq"
"S_255","Y","20s","F","CAU","WE",NA,"",NA,"Alice","mnpi","lift","evenpnq","c1","mnpi-lift-c2",30,68,40,15,57,"","exp2a","evenpnq"
"S_255","Y","20s","F","CAU","WE",NA,"",NA,"Jacob","evenl","grain","evenq","c1","evenl-grain-c2",11,58,26,6,67,"","exp2a","evenq"
"S_267","Y","30s","M","CAU","MA",NA,"",NA,"Alice","mnpi","lift","pq","c1","mnpi-lift-c2",51,8,84,75,76,"","exp2a","pq"
"S_267","Y","30s","M","CAU","MA",NA,"",NA,"Matt","evenh","solve","evenq","c1","evenh-solve-c2",11,90,25,90,8,"","exp2a","evenq"
"S_267","Y","30s","M","CAU","MA",NA,"",NA,"Roy","snpi","anytime","pnq","c1","snpi-anytime-c2",77,82,82,89,5,"","exp2a","pnq"
"S_267","Y","30s","M","CAU","MA",NA,"",NA,"Carrie","evenl","inkling","evenpnq","c1","evenl-inkling-c2",20,80,21,25,16,"","exp2a","evenpnq"
"S_13","Y","20s","F","CAU","nonUS",NA,"",NA,"Sally","evenh","call","evenq","c1","evenh-call-c2",15,1,27,2,7,"","exp2a","evenq"
"S_13","Y","20s","F","CAU","nonUS",NA,"",NA,"Lily","snpi","anything","pnq","c1","snpi-anything-c2",90,9,70,73,8,"","exp2a","pnq"
"S_13","Y","20s","F","CAU","nonUS",NA,"",NA,"Andrew","mnpi","give","pq","c1","mnpi-give-c2",54,36,19,5,8,"","exp2a","pq"
"S_13","Y","20s","F","CAU","nonUS",NA,"",NA,"Jacob","evenl","grain","evenpnq","c1","evenl-grain-c2",2,96,67,70,61,"","exp2a","evenpnq"
"S_239","Y","20s","F","CAU","SW",NA,"",NA,"Lily","snpi","anything","pq","c1","snpi-anything-c2",63,24,16,74,19,"","exp2a","pq"
"S_239","Y","20s","F","CAU","SW",NA,"",NA,"Andrew","mnpi","give","evenpnq","c1","mnpi-give-c2",87,61,59,30,12,"","exp2a","evenpnq"
"S_239","Y","20s","F","CAU","SW",NA,"",NA,"Matt","evenh","solve","pnq","c1","evenh-solve-c2",63,37,67,72,21,"","exp2a","pnq"
